circuit_key,compound_rank,estimator,estimator_order,wear_s_per_lap,se_s_per_lap,laps,stints,races
monza,SOFTEST,IPCW-corrected,3,0.045169938395032444,0.008143644367790201,1546,95,6
nurburgring,MIDDLE,IPCW-corrected,3,0.07181491324023274,,356,22,1
nurburgring,SOFTEST,IPCW-corrected,3,0.046780571680567117,,320,26,1
paul_ricard,HARDEST,IPCW-corrected,3,0.0368184190256656,0.011834149757348353,1442,51,3
paul_ricard,MIDDLE,IPCW-corrected,3,0.03035857753192129,0.009678465419886153,1366,74,4
paul_ricard,SOFTEST,IPCW-corrected,3,0.06221314016614374,0.0008454123400004137,571,36,4
portimao,HARDEST,IPCW-corrected,3,0.0040037200463834835,0.001264942248359267,765,25,2
portimao,MIDDLE,IPCW-corrected,3,0.0028420322895598917,0.004639001975046669,1197,38,2
portimao,SOFTEST,IPCW-corrected,3,0.0009325450093570415,0.008508184303999668,338,20,2
red_bull_ring,HARDEST,IPCW-corrected,3,0.03069355521107992,0.008424233201023076,5467,199,10
red_bull_ring,MIDDLE,IPCW-corrected,3,0.026525270312107423,0.005027841055713324,4840,232,11
red_bull_ring,SOFTEST,IPCW-corrected,3,0.03549595434478738,0.015912738375260135,1624,96,10
rodriguez,HARDEST,IPCW-corrected,3,0.021157124978861252,0.004373194014170975,3585,111,7
rodriguez,MIDDLE,IPCW-corrected,3,0.0251070611856933,0.004443892795618211,3225,140,7
rodriguez,SOFTEST,IPCW-corrected,3,0.04621193054996808,0.006971047773042402,1104,58,7
shanghai,HARDEST,IPCW-corrected,3,0.03321447067843846,0.01891355235534845,1503,74,4
shanghai,MIDDLE,IPCW-corrected,3,0.01535390192942017,0.01162069222746631,1749,107,5
shanghai,SOFTEST,IPCW-corrected,3,0.015417300733701676,0.007907800927248515,500,49,5
silverstone,HARDEST,IPCW-corrected,3,0.03634946079490076,0.013791491946061666,2018,103,7
silverstone,MIDDLE,IPCW-corrected,3,0.03540276964335839,0.00933387162938263,2228,144,7
silverstone,SOFTEST,IPCW-corrected,3,0.017116102817460958,0.005666982477863117,878,74,7
singapore,HARDEST,IPCW-corrected,3,0.041133040414689036,0.006193573604153822,2285,80,5
singapore,MIDDLE,IPCW-corrected,3,0.034260122527040346,0.014516556046554522,1951,83,5
singapore,SOFTEST,IPCW-corrected,3,0.04199804178955856,0.011193348141875755,724,48,5
sochi,HARDEST,IPCW-corrected,3,0.005358254618981485,0.01029161297426114,1225,38,3
